03-25-2020 20:03:00.998 INFO  SearchOperator:rest - built uri=/services/licenser/stacks?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.998 INFO  AstOptimizer - SrchOptMetrics optimize_toJson=0.000126671
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING:  | fields + splunk_server, stack_id, stack_quota
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING:  | eval stack_quota=quota
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING:  | eval stack_id=title
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING: | rest splunk_server_group=dmc_group_license_master /services/licenser/stacks
03-25-2020 20:03:00.998 INFO  ProjElim - Black listed processors=[addinfo]
03-25-2020 20:03:00.998 INFO  AstOptimizer - SrchOptMetrics optimization=0.000357983
03-25-2020 20:03:00.998 INFO  AstOptimizer - Optimized Search = | rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id=title, stack_quota=quota | fields + splunk_server, stack_id, stack_quota
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING: | rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id=title, stack_quota=quota | fields + splunk_server, stack_id, stack_quota
03-25-2020 20:03:00.998 INFO  DispatchThread - SrchOptMetrics reparse_optimized_query=0.000055933
03-25-2020 20:03:00.998 INFO  SearchOperator:rest - built uri=/services/licenser/stacks?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.999 INFO  SearchParser - PARSING: prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:00.999 INFO  SearchOperator:rest - built uri=/services/licenser/stacks?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.999 INFO  DispatchThread - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
03-25-2020 20:03:00.999 INFO  DispatchThread - required fields list to add to remote search = *
03-25-2020 20:03:00.999 INFO  DispatchCommandProcessor - summaryHash=3715e1b006baae6f summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_3715e1b006baae6f remoteSearch=prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:00.999 INFO  DispatchCommandProcessor - summaryHash=NS861c7f36d79351a0 summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_NS861c7f36d79351a0 remoteSearch=prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:01.001 INFO  DispatchThread - Setting summary_mode=NONE after optimization
03-25-2020 20:03:01.001 INFO  DispatchThread - SrchOptMetrics FinalEval=0.002151098
03-25-2020 20:03:01.001 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:01.001 INFO  UserManager - Done setting user context: splunk-system-user -> splunk-system-user
03-25-2020 20:03:01.001 INFO  UserManager - Unwound user context: splunk-system-user -> splunk-system-user
